checklist,taxonID,exemplar id,canonicalName
0,35498178,309,Gazella subgutturosa subgutturosa
0,35498181,310,Gazella subgutturosa yarkandensis
0,35498180,311,Gazella subgutturosa marica
0,35492100,312,Gazella spekei
0,54896092,13968,Hemitragus
0,35492145,313,Hemitragus jayakari
0,35492146,314,Hemitragus jemlahicus
0,35492144,315,Hemitragus hylocrius
0,54899199,13969,Hippotragus
0,35497793,320,Hippotragus equinus
0,35498395,316,Hippotragus equinus langheldi
0,35498396,317,Hippotragus equinus scharicus
0,35498393,318,Hippotragus equinus cottoni
0,35498394,319,Hippotragus equinus koba
0,35498391,320,Hippotragus equinus equinus
0,35498392,321,Hippotragus equinus bakeri
0,35492176,322,Hippotragus equinus
0,35492178,325,Hippotragus niger
0,35498399,323,Hippotragus niger roosevelti
0,35498400,324,Hippotragus niger variani
0,35498397,325,Hippotragus niger niger
0,35498398,326,Hippotragus niger anselli
0,35492177,327,Hippotragus leucophaeus
0,54912787,13970,Kobus
0,35492183,328,Kobus megaceros
0,35492184,329,Kobus vardonii
0,35498428,329,Kobus vardonii vardonii
0,35498429,330,Kobus vardonii senganus
0,35489884,333,Kobus kob
0,35498418,331,Kobus kob bahrkeetae
0,35498417,332,Kobus kob adolfi
0,35498416,333,Kobus kob kob
0,35498423,334,Kobus kob ubangiensis
0,35498419,335,Kobus kob leucotis
0,35498420,336,Kobus kob pousarguesi
0,35498421,337,Kobus kob riparia
0,35498422,338,Kobus kob thomasi
0,35489883,351,Kobus ellipsiprymnus
0,35498415,339,Kobus ellipsiprymnus unctuosus
0,35498414,340,Kobus ellipsiprymnus tschadensis
0,35498413,341,Kobus ellipsiprymnus tjaederi
0,35498412,342,Kobus ellipsiprymnus thikae
0,35498411,343,Kobus ellipsiprymnus penricei
0,35498410,344,Kobus ellipsiprymnus pallidus
0,35498409,345,Kobus ellipsiprymnus kondensis
0,35498408,346,Kobus ellipsiprymnus harnieri
0,35498407,347,Kobus ellipsiprymnus defassa
0,35498406,348,Kobus ellipsiprymnus crawshayi
0,35498405,349,Kobus ellipsiprymnus annectens
0,35498404,350,Kobus ellipsiprymnus adolfifriderici
0,35498403,351,Kobus ellipsiprymnus ellipsiprymnus
0,35489882,353,Kobus leche
0,35498427,352,Kobus leche smithemani
0,35498424,353,Kobus leche leche
0,35498425,354,Kobus leche kafuensis
0,35498426,355,Kobus leche robertsi
0,54924202,13971,Litocranius
0,35492103,357,Litocranius walleri
0,35498183,356,Litocranius walleri sclateri
0,35498182,357,Litocranius walleri walleri
0,54929207,13972,Madoqua
0,35497789,359,Madoqua saltiana
0,35498191,358,Madoqua saltiana hararensis
